FID,Shape *,Lakes_OBJE,FDate,GNIS_Name,Shape_Leng,Shape_Area,EWM,VLM,CLP,WC,Fan,SWF,BN,YFH,Inv,Durb,Road_Dens,X,Y,ele,Lakes_freq,ws_area,area_up,sf_dens,ewm_up,launch_num,edit,URB_ISO,Lakes1.public_acc,Lakes1.vlm_up,Rowid,LAKES_POINT *,X,Y,CLIMTMIN_4,CLIMTMIN_3,CLIMTMIN_2,CLIMTMIN_1,CLIMTMIN_12,CLIMTMIN_11,CLIMTMIN_10,CLIMTMEAN_4,CLIMTMEAN_3,CLIMTMEAN_2,CLIMTMEAN_1,CLIMTMEAN_12,CLIMTMEAN_11,CLIMTMEAN_10,CLIMTMAX_4,CLIMTMAX_3,CLIMTMAX_2,CLIMTMAX_1,CLIMTMAX_12,CLIMTMAX_11,CLIMTMAX_10,CLIMTMIN_9,CLIMTMIN_8,CLIMTMIN_7,CLIMTMIN_6,CLIMTMIN_5,CLIMTMEAN_9,CLIMTMEAN_8,CLIMTMEAN_7,CLIMTMEAN_6,CLIMTMEAN_5,CLIMTMAX_9,CLIMTMAX_8,CLIMTMAX_7,CLIMTMAX_6,CLIMTMAX_5
22,Polygon ZM,89320,7/8/2009,Mud Pond,2.672985,20.983007,0,0,0,0,0,0,0,0,0,25820.41703,0.669747,482310.8835,4869009.713,409,28,71.537039,165.224651,0,0,0,0,216.340817,1,0,77,22,482310.8835,4869009.713,-15,-89,-146,-154,-114,-32,17,45,-30,-84,-96,-64,12,75,105,29,-22,-38,-13,56,133,73,113,122,96,45,132,174,185,160,111,192,236,249,225,178
23,Polygon ZM,121761,7/27/2009,Limekiln Lake,10.462815,187.864597,0,0,0,0,0,0,0,0,0,53943.42272,3.655004,516149.7546,4839965.536,575,54,14.1211,10.304766,0,0,1,0,232.143234,1,0,104,23,516149.7546,4839965.536,-26,-97,-152,-159,-120,-39,8,36,-35,-88,-100,-69,6,67,98,27,-24,-40,-17,52,127,66,104,111,85,35,126,166,175,151,103,186,228,240,217,172
24,Polygon ZM,121762,9/7/2009,Osgood Pond,12.041545,208.461896,0,0,0,0,0,0,0,0,0,12341.07311,2.40361,560714.9812,4922242.645,503,364,23.350533,64.136481,0.171046,0,1,0,160.588832,1,0,24,24,560714.9812,4922242.645,-21,-95,-151,-159,-121,-41,8,38,-36,-90,-102,-70,4,66,98,24,-29,-44,-18,49,125,64,105,115,89,38,125,168,180,155,106,186,231,245,221,174
25,Polygon ZM,122130,1/11/2013,Otter Lake,6.92894,60.114171,0,0,0,0,0,0,0,0,0,35315.12303,7.957224,490435.3105,4826584.786,462.300018,60,5.3793,0.487509,0.526219,0,1,0,252.122954,0,0,114,25,490435.3105,4826584.786,-16,-87,-145,-152,-112,-32,16,44,-29,-83,-95,-63,12,74,104,30,-21,-38,-13,56,132,74,113,121,95,44,132,173,184,159,110,191,234,247,223,176
26,Polygon ZM,122512,7/27/2009,Lake Rondaxe,17.348085,100.467057,0,0,0,0,0,0,0,0,0,45070.49562,1.991489,507929.4643,4845996.412,524.200012,137,137.180297,972.006041,0,0,0,0,230.255361,0,0,99,26,507929.4643,4845996.412,-24,-97,-154,-160,-121,-38,9,38,-35,-89,-100,-69,7,69,100,28,-23,-40,-16,53,129,68,106,113,87,36,128,168,178,153,105,188,230,243,219,174
27,Polygon ZM,122513,7/27/2009,Big Moose Lake,30.218134,498.653007,0,0,0,0,0,0,0,0,0,47293.33788,2.991634,511071.5232,4852465.192,556.5,167,81.703249,188.629973,0,0,1,0,224.835309,0,0,91,27,511071.5232,4852465.192,-25,-99,-155,-161,-121,-39,8,37,-36,-90,-101,-69,6,68,99,27,-24,-40,-17,52,128,65,105,112,86,35,125,167,176,152,103,186,229,241,218,172
28,Polygon ZM,122967,1/11/2013,South Lake,14.231313,200.498892,0,0,0,0,0,0,0,0,0,43899.17212,1.526457,509252.8127,4817449.802,615.299988,126,16.21558,1.527644,0,0,1,0,256.229085,1,0,120,28,509252.8127,4817449.802,-25,-96,-151,-157,-118,-41,8,34,-37,-89,-100,-69,3,65,94,22,-27,-43,-20,47,123,66,103,112,85,36,124,162,174,148,101,182,222,236,211,167
29,Polygon ZM,123188,9/7/2009,Barnum Pond,2.917716,37.677773,0,0,0,0,0,0,0,0,0,14615.04237,2.774979,558910.9849,4923235.113,504,364,1.775734,0,1.057611,0,0,0,159.30023,1,0,23,29,558910.9849,4923235.113,-21,-95,-152,-159,-121,-42,9,38,-36,-91,-101,-70,3,67,97,23,-29,-43,-19,48,125,64,104,115,89,38,125,166,179,154,105,186,229,244,220,173
30,Polygon ZM,123229,7/27/2009,North Lake,18.404559,174.76557,0,0,0,0,0,0,0,0,0,43583.07936,7.184111,505913.6457,4820469.537,555.299988,60,79.528994,55.325693,0,0,0,0,255.552745,1,0,118,30,505913.6457,4820469.537,-21,-92,-149,-155,-116,-37,11,39,-32,-86,-98,-66,7,69,100,28,-23,-40,-16,52,128,69,107,115,88,39,127,167,178,152,106,186,228,242,217,173
31,Polygon ZM,123712,7/27/2009,Quiver Pond,1.259368,7.630464,0,0,0,0,0,0,0,0,0,48694.54353,5.586739,510363.2236,4842737.943,530,137,0.219867,0,0,0,1,0,229.770205,1,0,102,31,510363.2236,4842737.943,-24,-96,-153,-159,-119,-38,9,38,-34,-88,-100,-67,7,69,100,28,-23,-40,-15,53,129,68,106,113,86,36,128,168,178,152,105,188,230,243,219,174
32,Polygon ZM,123968,7/27/2009,Twitchell Lake,7.017911,57.724486,0,0,0,0,0,0,0,0,0,46988.87651,2.051463,509061.5437,4854915.194,625.400024,119,7.546972,17.422734,0,0,1,0,221.252072,1,0,85,32,509061.5437,4854915.194,-29,-103,-158,-164,-125,-43,6,32,-41,-93,-105,-73,1,64,93,22,-28,-45,-21,46,122,63,100,108,83,32,122,161,171,148,99,181,223,235,213,167
33,Polygon ZM,124668,9/7/2009,Mountain Pond,4.426323,24.496358,0,0,0,0,0,0,0,0,0,16408.91048,4.547885,557677.1776,4924882.294,500,364,3.399193,3.980608,0.564165,0,0,0,158.557172,1,0,21,33,557677.1776,4924882.294,-21,-95,-151,-159,-121,-41,9,38,-36,-90,-102,-70,4,67,98,23,-29,-44,-19,49,125,64,105,116,90,38,124,167,180,155,105,185,230,244,221,173
34,Polygon ZM,125442,7/27/2009,Brantingham Lake,11.421717,134.973034,0,0,0,0,0,0,0,0,0,18161.98363,7.882445,478365.5104,4837952.288,376.100006,75,12.143188,14.859116,0,0,0,0,246.202521,0,0,107,34,478365.5104,4837952.288,-10,-80,-139,-147,-107,-27,21,49,-24,-79,-91,-59,16,78,108,33,-19,-34,-10,60,136,78,118,126,100,49,137,179,188,164,114,196,240,251,228,180
35,Polygon ZM,125444,9/7/2009,Upper St. Regis,19.896692,291.327737,0,0,0,0,0,0,0,0,0,10860.95773,2.73551,557490.0422,4917389.535,494,364,14.398923,0,0.063598,0,1,0,165.872399,1,0,32,35,557490.0422,4917389.535,-21,-95,-150,-158,-120,-40,9,39,-35,-88,-100,-69,5,68,100,25,-26,-41,-17,51,127,65,105,116,90,38,127,168,181,156,107,189,232,246,222,176
36,Polygon ZM,126178,7/27/2009,Long Lake,10.800596,64.423051,0,0,0,0,0,0,0,0,0,35300.39938,3.01979,487827.0897,4823043.855,447.200012,60,18.124127,69.361303,0.28867,0,0,0,257.68226,1,0,115,36,487827.0897,4823043.855,-14,-86,-143,-151,-111,-31,17,45,-28,-82,-95,-63,12,74,105,30,-21,-38,-14,56,132,74,115,122,96,45,132,175,184,159,110,191,235,247,223,176
37,Polygon ZM,126429,7/27/2009,Payne Lake,1.439518,7.183036,0,0,0,0,0,0,0,0,0,14636.09477,1.188249,476642.4944,4849174.153,382.800018,124,0.3239,0,0,0,0,0,234.943561,1,0,95,37,476642.4944,4849174.153,-11,-83,-142,-150,-109,-29,19,48,-26,-81,-94,-60,15,76,107,32,-20,-37,-11,59,134,76,116,124,99,48,135,177,187,163,113,194,238,250,227,179
